cover,title,author,"avg rating",rating,shelves,"date read","date added",""
"","The Dhandho Investor: The Low-Risk Value Method to High Returns","Pabrai, Mohnish",4.21,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read , favourites [edit]","not set [edit]","Sep 11, 2012","edit view »"
"","Imaginary Homelands: Essays and Criticism 1981-1991","Rushdie, Salman",3.98,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Bangalore Tiger: How Indian Tech Upstart Wipro Is Rewriting the Rules of Global Competition","Hamm, Steve *",3.23,"1 of 5 stars [ 2 of 5 stars ] 3 of 5 stars 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 10, 2012","edit view »"
"","Ignited Minds: Unleashing the Power Within India","Kalam, A.P.J. Abdul",4.02,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","not set [edit]","Sep 10, 2012","edit view »"
"","The World Is Flat: A Brief History of the Twenty-first Century","Friedman, Thomas L.",3.68,"1 of 5 stars [ 2 of 5 stars ] 3 of 5 stars 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","The God of Small Things","Roy, Arundhati *",3.95,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","A Fine Balance","Mistry, Rohinton",4.36,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Catch Me If You Can: The True Story of a Real Fake","Abagnale, Frank W.",4.03,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Barbarians at the Gate: The Fall of RJR Nabisco","Burrough, Bryan",4.25,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Jan 10, 2013","edit view »"
"","Midnight's Children","Rushdie, Salman",3.98,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Extraordinary Popular Delusions and the Madness of Crowds","Mackay, Charles",3.85,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Life Isn't All Ha Ha Hee Hee","Syal, Meera",3.57,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Anita and Me","Syal, Meera",3.70,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Blink: The Power of Thinking Without Thinking","Gladwell, Malcolm",3.95,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read , favourites [edit]","not set [edit]","Sep 11, 2012","edit view »"
"","Fathers and Sons","Turgenev, Ivan",3.97,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Business Maharajas","Piramal, Gita",3.83,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","The Satanic Verses","Rushdie, Salman",3.70,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","The Buddha of Suburbia","Kureishi, Hanif",3.74,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","The Road Ahead","Gates, Bill *",3.74,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism","Capra, Fritjof",3.95,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","The Romantics","Mishra, Pankaj",3.55,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Mar 01, 2013","edit view »"
"","Beyond The Last Blue Mountain: A Life Of J. R. D. Tata","Lala, R.M.",4.23,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , favourites [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","The White Tiger","Adiga, Aravind",3.76,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Feb 11, 2013","edit view »"
"","Bombay Duck","Dhondy, Farrukh",4.22,"1 of 5 stars [ 2 of 5 stars ] 3 of 5 stars 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","The Mythical Man-Month: Essays on Software Engineering","Brooks Jr., Frederick P.",4.01,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read , favourites [edit]","not set [edit]","Sep 11, 2012","edit view »"
"","Autobiography of a Yogi","Yogananda, Paramahansa",4.22,"1 of 5 stars [ 2 of 5 stars ] 3 of 5 stars 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 11, 2012","edit view »"
"","The Sikhs","Singh, Patwant",4.09,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","The Tipping Point: How Little Things Can Make a Big Difference","Gladwell, Malcolm",3.99,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read , favourites [edit]","not set [edit]","Sep 11, 2012","edit view »"
"","A Commonwealth of Thieves: The Improbable Birth of Australia","Keneally, Thomas",3.65,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read , favourites [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Guns, Germs, and Steel: The Fates of Human Societies","Diamond, Jared",4.04,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","A Brief History of Time","Hawking, Stephen",4.20,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Animal Farm","Orwell, George",3.97,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","A Short History of Nearly Everything","Bryson, Bill",4.20,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","How to Win Friends and Influence People","Carnegie, Dale",4.21,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","not set [edit]","Sep 10, 2012","edit view »"
"","All I Really Need to Know I Learned in Kindergarten","Fulghum, Robert",4.00,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Wikinomics: How Mass Collaboration Changes Everything","Tapscott, Don",3.72,"1 of 5 stars [ 2 of 5 stars ] 3 of 5 stars 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Sister of My Heart (Anju and Sudha #1)","Divakaruni, Chitra Banerjee *",3.99,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Mar 01, 2013","edit view »"
"","The Google Story: Inside the Hottest Business, Media and Technology Success of Our Time","Vise, David A.",3.87,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Feb 11, 2013","edit view »"
"","The Da Vinci Code (Robert Langdon, #2)","Brown, Dan *",3.89,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","The God Delusion","Dawkins, Richard *",3.90,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Deception Point","Brown, Dan *",3.74,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"",Shantaram,"Roberts, Gregory David",4.25,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 11, 2012","edit view »"
"","Edward Britton","Crew, Gary",3.38,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Angels & Demons (Robert Langdon, #1)","Brown, Dan *",3.92,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Outliers: The Story of Success","Gladwell, Malcolm",4.18,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","not set [edit]","Sep 11, 2012","edit view »"
"","Crime and Punishment","Dostoevsky, Fyodor",4.24,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Field Notes on Democracy: Listening to Grasshoppers","Roy, Arundhati *",3.98,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","The Difficulty of Being Good: On the Subtle Art of Dharma","Das, Gurcharan",4.11,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","John Ilhan: A Crazy Life","Dabkowski, Stephen",3.87,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Mahabharata in Polyester: The Making of the World's Richest Brothers and Their Feud","McDonald, Hamish",4.11,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , favourites [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Steve Jobs","Isaacson, Walter *",4.15,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , favourites [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity","Boo, Katherine",3.98,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","The Oath of the Vayuputras (Shiva Trilogy, #3)","Tripathi, Amish *",3.81,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read , 2014 [edit]","not set [edit]","Jun 12, 2014","edit view »"
"","The Art of Thinking Clearly","Dobelli, Rolf",3.85,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , 2014 , favourites [edit]","not set [edit]","Jun 12, 2014","edit view »"
"","Tap Dancing to Work: Warren Buffett on Practically Everything, 1966-2012","Loomis, Carol J.",3.97,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , favourites [edit]","not set [edit]","Dec 05, 2012","edit view »"
"","Ayodhya: The Dark Night","Jha, Krishna",3.83,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Nov 24, 2013","edit view »"
